HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Female_maturity_(days),Male_maturity_(days),Gestation/Incubation_(days),Weaning_(days),Litter/Clutch_size,Litters/Clutches_per_year,Inter-litter/Interbirth_interval,Birth_weight_(g),Weaning_weight_(g),Adult_weight_(g),Growth_rate_(1/days),Maximum_longevity_(yrs),Source,Specimen_origin,Sample_size,Data_quality,IMR_(per_yr),MRDT_(yrs),Metabolic_rate_(W),Body_mass_(g),Temperature_(K),References
00003,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,,,,,,,,,,,,0.19,,unknown,medium,acceptable,,,,,,"1294,1295,1296"
00005,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit_fly,7,7,,,,,,,,,,0.3,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150"
00006,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey_bee,,,,,,,,,,,,8,812,unknown,medium,acceptable,,,,,,"63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166"
00008,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla_obscurior,,,,,,,,,,,,0.5,1293,captivity,medium,acceptable,,,,,,1293
00009,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black_garden_ant,,,,,,,,,,,,28,411,unknown,medium,acceptable,,,,,,"411,813,814"
00010,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole_dentata,,,,,,,,,,,,0.4,1156,captivity,medium,questionable,,,,,,1156
00011,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting_bush_brown,15,15,,,,,,,,,,0.5,811,wild,medium,acceptable,,,,,,"418,809,811"
00012,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American_lobster,,,,,,,,,,,,100,2,wild,medium,acceptable,,,,,,"2,13,594"
00015,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly_toad,1095,1095,,,190,,,,,,,20,485,captivity,medium,acceptable,,,,,,"485,525,749"
00016,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental_firebelly_toad,,,,,148,,,,,,,15.8,451,captivity,large,acceptable,,,,,,"451,525,749"
00017,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied_toad,,,,,73,,,,,,,29,,captivity,medium,acceptable,,,,,,"24,525,749"
00018,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American_toad,910,910,8,,6000,,365,,,21.7667,,36,525,captivity,medium,acceptable,,,0.00829,21.6,288,"37,268,426,525,749"
00019,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western_toad,1095,1095,6,,5200,,,,,,,11.5,451,captivity,medium,acceptable,,,,,,"437,451,526,749"
00020,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite_toad,1825,1460,11,,1750,,,,,,,15,503,wild,medium,acceptable,,,,,,"503,526,749"
00021,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great_plains_toad,730,730,4,,11074,,,,,,,10.7,485,captivity,small,questionable,,,,,,"485,526,749"
00022,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green_toad,,,,,1300,,,,,,,12.4,451,captivity,small,acceptable,,,,,,"451,749"
00023,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian_toad,730,730,,,,,,,,,,13.3,451,captivity,small,acceptable,,,,,,"451,528"
00024,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted_toad,730,730,,,1500,,,,,,,11.3,485,captivity,medium,acceptable,,,,,,"485,749"
00025,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran_green_toad,,,2,,,,,,,,,15.3,451,captivity,small,acceptable,,,,,,"451,749"
00026,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern_toad,,,3,,3250,,,,,19.267,,10,451,captivity,medium,acceptable,,,0.00698,19.2,288,"37,451,749"
00027,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa_stubfoot_toad,,,,,,,,,,,,10,451,captivity,large,acceptable,,,,,,451
00028,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common_European_toad,1460,1460,,,,,,,,,,40,451,captivity,medium,acceptable,,,,,,"451,525,526,1134"
00029,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado_river_toad,,1095,,,7750,,,,,,,15.4,485,captivity,medium,acceptable,,,,,,"485,749"
00030,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi_spray_toad,,,,,,,,,,,,5,990,captivity,medium,questionable,,,,,,990
00031,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed_toad,,,,,,,,,,,,10.7,451,captivity,small,acceptable,,,,,,451
00032,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban_toad,,,,,,,,,,,,20,485,captivity,small,acceptable,,,,,,485
00033,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European_green_toad,,,,,,,,,,,,11.9,451,captivity,large,acceptable,,,,,,451
00034,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian_giant_toad,,,,,,,,,,,,28.7,451,captivity,tiny,acceptable,,,,,,451
00035,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine_toad,,,,,,,,,,,,,,unknown,small,low,,,,,,"451,525"
00036,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane_toad,365,365,2,,10000,,,,,106.25,,24.8,485,captivity,large,acceptable,,,0.0303,105,293,"37,296,485,749"
00037,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura_toad,,,,,,,,,,,,15.1,451,captivity,small,acceptable,,,,,,451
00038,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common_horned_frog,,,,,,,,,,,,12.8,451,captivity,small,acceptable,,,,,,451
00039,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian_horned_frog,,,,,,,,,,,,15.9,451,captivity,tiny,acceptable,,,,,,451
00040,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian_horned_frog,,,,,,,,,,,,10.3,485,captivity,small,acceptable,,,,,,"485,749"
00041,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate_horned_frog,,,,,,,,,,,,14.7,451,captivity,medium,acceptable,,,,,,451
00042,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green_and_black_dart-poison_frog,365,365,12,,6,,,,,,,20.5,448,captivity,large,acceptable,,,,,,"448,749"
00043,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded_poison_frog,75,75,12,,7,,,,,,,11.5,451,captivity,large,acceptable,,,,,,"451,749"
00044,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue_poison-dart_frog,,,,,,,,,,,,,,unknown,large,low,,,,,,451
00045,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa_poison_dart_frog,,,,,,,,,,,,9.1,451,captivity,medium,acceptable,,,,,,451
00046,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry_poison_frog,,,,,,,,,,,,7.5,451,captivity,medium,acceptable,,,,,,451
00047,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo_dulce_poison-dart_frog,304,304,15,,14,,,,,,,,,unknown,medium,low,,,,,,749
00048,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African_tigrine_frog,,,,,,,,,,48.1,,10.9,451,captivity,small,acceptable,,,,,,"451,749"
00049,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's_cricket_frog,,,,,,,,,,1,,,,unknown,small,low,,,,,,1096
00050,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern_cricket_frog,,,,,,,,,,,,4.9,485,captivity,small,questionable,,,,,,"485,749,1096"
00051,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,callidryas,Red-eyed_tree_frog,,,,,,,,,,,,,,unknown,large,low,,,,,,485
00052,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed_tree_frog,,,,,,,,,,,,5.5,451,captivity,tiny,acceptable,,,,,,451
00053,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,,,,,,,,,,,,12.8,451,captivity,tiny,acceptable,,,,,,451
00054,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European_tree_frog,,,,,,,,,,,,22,451,captivity,small,acceptable,,,,,,451
00055,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's_gray_treefrog,730,547,21,,35,,,,,,,7.8,485,captivity,medium,acceptable,,,,,,"485,528,749"
00056,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green_treefrog,730,730,,,1222,,,,,,,,,unknown,medium,low,,,,,,"485,749"
00057,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking_treefrog,,,,,2250,,,,,,,12.5,451,captivity,medium,acceptable,,,,,,"451,749"
00058,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese_treefrog,1278,1278,,,920,,,,,,,8.9,451,captivity,small,acceptable,,,,,,"451,749"
00059,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel_treefrog,,,1,,1000,1,,,,,,8.5,485,captivity,medium,acceptable,,,,,,"485,749"
00060,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray_treefrog,730,730,4,,1800,,,,,7.2,,7.8,543,captivity,medium,acceptable,,,0.00433,6.97,290.5,"37,528,543,749"
00061,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's_treefrog,,,,,775,,,,,,,,,unknown,small,low,,,,,,"485,749"
00062,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian_green_treefrog,,,,,1100,,,,,,,20,451,captivity,large,acceptable,,,,,,"451,749"
00063,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban_treefrog,255,120,1,,1500,,,,,,,12.9,451,captivity,medium,acceptable,,,,,,"451,749"
00064,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola_giant_treefrog,,,,,,,,,,,,6.6,451,captivity,small,questionable,,,,,,451
00065,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican_leaf_frog,,,,,,,,,,,,8.7,451,captivity,small,acceptable,,,,,,451
00066,Animalia,Chordata,Amphibia,Anura,Hylidae,Phyllomedusa,bicolor,Waxy_treefrog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451
00067,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring_peeper,912,912,10,,700,,,,,4,,,,unknown,small,low,,,0.00105,0.9,292,"37,451,525,528,749"
00068,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox_frog,,,,,,,,,,,,11,451,captivity,small,acceptable,,,,,,451
00069,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican_treefrog,,,,,2480,,,,,,,6.3,485,captivity,small,acceptable,,,,,,"485,749"
00070,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland_burrowing_treefrog,,,,,,,,,,,,5.1,485,captivity,small,acceptable,,,,,,485
00071,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked_treefrog,,,,,2000,,,,,,,4.1,485,captivity,small,acceptable,,,,,,"485,749"
00072,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled_treefrog,,,,,,,,,,,,10.5,451,captivity,small,acceptable,,,,,,451
00073,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal_tailed_frog,,,32,,62,,,,,,,14,525,wild,medium,acceptable,,,,,,"525,749"
00074,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara_frog,,,,,,,,,,,,18.8,451,captivity,medium,acceptable,,,,,,451
00075,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden_mantella,,,14,,40,,,,,,,10.9,451,captivity,large,acceptable,,,,,,"451,749"
00076,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged_mantella,365,365,,,,,,,,,,3,1060,wild,small,questionable,,,,,,1060
00077,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern_narrow-mouthed_toad,547,365,1,,722,,,,,,,6.8,485,captivity,small,acceptable,,,,,,"485,528,749"
00078,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian_narrowmouth_toad,,,,,,,,,,,,11,485,captivity,medium,acceptable,,,,,,485
00079,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate_narrow-mouthed_frog,547,182,,,,,,1125,,,,5,964,wild,small,acceptable,,,,,,964
00080,Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded_frog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451
00081,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow_frog,365,365,,,,,,,,,,2,1060,wild,small,questionable,,,,,,1060
00082,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common_Eurasian_spadefoot_toad,,,8,,1740,,,,,,,11,485,captivity,medium,acceptable,,,,,,"485,749"
00083,Animalia,Chordata,Amphibia,Anura,Petropedetidae,Conraua,goliath,Goliath_frog,,,,,,,,,,,,5.9,451,captivity,small,acceptable,,,,,,"451,749"
00084,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam_toad,,,,,,,,,,,,7.7,485,captivity,medium,acceptable,,,,,,"485,749"
00085,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African_clawed_frog,183,,2,,,,,,,130,,30.3,451,captivity,large,acceptable,,,0.012,63.6,288,"10,37,196,451,526,607,749,1255"
00086,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African_bullfrog,,,,,,,,,,,,45,451,captivity,medium,acceptable,,,,,,"451,749"
00087,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape_sand_frog,,,,,,,,,,,,11.3,451,captivity,small,acceptable,,,,,,451
00088,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American_bullfrog,1277,730,4,,,,,,,54.4,,16,485,captivity,medium,acceptable,,,0.0134,51.2,288,"2,37,485,526,528,749"
00089,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green_frog,730,730,,,4000,,,,,,,10,528,captivity,medium,acceptable,,,,,,"528,749"
00090,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern_leopard_frog,730,365,,,4146,,,,,29.0222,,9,525,wild,medium,acceptable,,,0.00576,21.6,289.78,"37,42,268,525,528,749"
00091,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink_frog,730,547,,,2250,,,,,,,6,528,wild,medium,acceptable,,,,,,"528,749"
00092,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood_frog,912,547,,,900,,,,,7.88,,5,,unknown,medium,questionable,,,0.00416,7.8,289.8,"37,43,289,340,528,749"
00093,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter_frog,,730,,,,,,,,,,6.2,485,captivity,small,acceptable,,,,,,"485,749"
00094,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool_frog,,,,,2420,,,,,,,6,525,wild,medium,acceptable,,,,,,"525,749"
00095,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted_frog,730,730,,,2800,,,,,,,15,651,wild,medium,acceptable,,,,,,"651,749"
00096,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian_green_frog,912,912,6,,,,,,,,,6.8,650,captivity,small,acceptable,,,,,,"525,650,749"
00097,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh_frog,1460,1095,,,6835,,,,,,,11,525,wild,medium,acceptable,,,,,,"525,749,895"
00098,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian_wood_frog,1640,1640,,,2125,,,,,,,9,525,wild,medium,acceptable,,,,,,"525,749"
00099,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor_frog,,,,,1750,,,,,,,11,525,wild,medium,acceptable,,,,,,"525,749"
00100,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,California_red-legged_frog,,,,,,,,,,,,15,503,wild,medium,acceptable,,,,,,"503,1150"
00101,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible_frog,,,,,,,,,,,,12,525,wild,medium,acceptable,,,,,,525
00102,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian_frog,,,,,318,,,,,,,8,525,wild,medium,acceptable,,,,,,"525,749"
00103,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged_wood_frog,912,912,,,2040,,,,,,,5,525,wild,medium,acceptable,,,,,,"525,749"
00104,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European_frog,1095,1095,,,2585,,,,,,,27,,unknown,medium,acceptable,,,,,,"25,525,526,749,1118"
00105,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's_spadefoot,,,,,3000,,,,,,,6.7,485,captivity,small,questionable,,,,,,"458,485,749"
00106,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern_spadefoot,730,730,8,,3872,,,,,,,12.3,485,captivity,small,acceptable,,,,,,"485,528,749"
00107,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great_Basin_spadefoot,,,3,,676,,,,,,,20,437,wild,medium,acceptable,,,,,,"437,749"
00108,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern_salamander,730,730,,,150,,,,,,,10.2,485,captivity,small,acceptable,,,,,,"485,749"
00109,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's_salamander,,,,,,,,,,,,8.8,485,captivity,small,acceptable,,,,,,485
00110,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed_salamander,730,730,40,,250,,,,,,,10,437,wild,medium,acceptable,,,,,,"437,749"
00111,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted_salamander,1095,730,,,125,,,,,12.84,,32,,unknown,medium,acceptable,,,0.005,12.8,290,"37,528,749"
00112,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548,548,18,,,,,,,,,17,451,captivity,large,acceptable,,,,,,"449,451,749,796,843"
00113,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled_salamander,1296,1113,,,100,,,,,,,11.3,485,captivity,small,acceptable,,,,,,"485,528,749"
00114,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,rosaceum,Chihuahuan_mole_salamander,,,,,,,,,,,,14.4,451,captivity,small,acceptable,,,,,,451
00115,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole_salamander,730,730,,,350,,,,,,,9,749,unknown,medium,acceptable,,,,,,"528,749"
00116,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed_salamander,,,35,,625,,,,,,,13.8,485,captivity,tiny,acceptable,,,,,,"485,749"
00117,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger_salamander,1460,1460,28,,37,,,,,9.402,,25,485,captivity,medium,acceptable,,,0.00196,3.21,291,"27,37,440,485,1143"
00118,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California_giant_salamander,,,150,,85,,,,,,,16.9,451,captivity,tiny,acceptable,,,,,,"451,749"
00119,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed_amphiuma,1460,1095,150,,200,,,,,200.967,,27,485,captivity,small,acceptable,,,0.00904,199,288,"37,485,749"
00120,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,Three-toed_amphiuma,,,135,,200,,,,,,,15.9,485,captivity,small,acceptable,,,,,,"485,749"
00121,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,davidianus,Chinese_giant_salamander,,,55,,500,,,,,,,19.9,485,captivity,small,questionable,,,,,,"485,749"
00122,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Japanese_giant_salamander,1825,1825,60,,500,,,,,,,55,485,captivity,small,acceptable,,,,,,"2,485,749"
00123,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,1825,1825,72,,275,,,,,358.1,,29,528,wild,medium,acceptable,,,0.0253,358,288,"37,440,528"
00124,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,boulengeri,Boulenger's_oriental_salamander,,,,,32,,,,,,,11.9,485,captivity,small,acceptable,,,,,,"230,231,485,749"
00125,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,leechii,Chinese_salamander,,,,,,,,,,,,7.1,451,captivity,small,acceptable,,,,,,451
00126,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,nebulosus,Clouded_salamander,,,,,,,,,,,,14.2,485,captivity,medium,acceptable,,,,,,485
00127,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,retardatus,Japanese_salamander,,,,,,,,,,,,12.9,485,captivity,small,acceptable,,,,,,485
00128,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,fischeri,Long-tailed_clawed_salamander,,,,,,,,,,,,17,525,wild,medium,acceptable,,,,,,525
00129,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,japonicus,Japanese_clawed_salamander,,,,,17,,,,,,,14.2,451,captivity,small,acceptable,,,,,,"451,749"
00130,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Paradactylodon,mustersi,Afghanistan_salamander,,,,,,,,,,,,11,451,captivity,small,acceptable,,,,,,451
00131,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella,keyserlingii,Siberian_salamander,,,23,,70,,,,,,,8,525,wild,medium,acceptable,,,,,,"525,749"
00132,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,aeneus,Green_salamander,912,912,82,,21,2,,,,,,,,unknown,tiny,low,,,,,,"451,528,749"
00133,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,lugubris,Arboreal_salamander,1095,1095,,,14.5,,,,,,,,,unknown,small,low,,,,,,"485,749"
00134,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,dofleini,Giant_palm_salamander,,,,,,,,,,,,6.9,451,captivity,small,acceptable,,,,,,451
00135,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,mexicana,Palm_salamander,,,,,,,,,,,,12.2,451,captivity,small,acceptable,,,,,,451
00136,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,Seal_salamander,1642,1277,45,,25,,,,,,,17.7,485,captivity,tiny,acceptable,,,,,,"485,528,749"
00137,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Allegheny_mountain_dusky_salamander,1280,1280,,,16,,,,,0.6,,19.8,485,captivity,tiny,acceptable,0.3,,,,,"468,485,526,529"
00138,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,Black-bellied_salamander,1280,1280,,,25,,,,,14.34,,15,485,captivity,small,acceptable,,,0.00411,14.1,288,"37,468,485,749"
00139,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,welteri,Black_mountain_salamander,1642,1642,,,26,,,,,,,20,485,captivity,small,acceptable,,,,,,"485,528,749"
00140,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina,eschscholtzii,Ensatina,1278,1278,138,,14,,,,,,,,,unknown,tiny,low,,,,,,"451,749"
00141,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,lucifuga,Cave_salamander,1095,1095,13,,73,,,,,,,9.1,451,captivity,small,acceptable,,,,,,"451,749"
00142,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,rathbuni,Texas_blind_salamander,,,,,,,,,,,,10.3,451,captivity,small,acceptable,,,,,,451
00143,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,spelaea,Grotto_salamander,,,,,,,,,,,,9.9,485,captivity,small,acceptable,,,,,,485
00144,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,wilderae,Blue_ridge_two-lined_salamander,1278,1278,,,32,,,,,,,8,485,captivity,small,acceptable,,,,,,"485,749"
00145,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,palleucus,Tennessee_cave_salamander,,,,,,,,,,,,18.5,485,captivity,small,acceptable,,,,,,485
00146,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,porphyriticus,Spring_salamander,1460,1460,,,61,,,,,,,18.5,485,captivity,small,acceptable,,,,,,"485,528,749"
00147,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium,scutatum,Four-toed_salamander,912,912,,,30,,,,,,,8.9,485,captivity,small,acceptable,,,,,,"468,485"
00148,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,hubrichti,Red_Hills_salamander,2008,,,,9,,,,,,,19.7,485,captivity,small,acceptable,,,,,,"485,749"
00149,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,Eastern_red-backed_salamander,730,730,,,8,,,,,0.5,,25,528,wild,medium,acceptable,,,0.000099,0.76,278.5,"37,468,526,528,529"
00150,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dunni,Dunn's_salamander,1095,1095,70,,9.4,,,,,,,11,485,captivity,small,acceptable,,,,,,"485,749"
00151,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,elongatus,Del_Norte_salamander,,,,,7,,,,,,,13.3,485,captivity,small,acceptable,,,,,,"485,749"
