Species,Country_of_Origin,Number_of_Bags,Bag_Weight,Harvest_Year,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,BitterSweetness,Mouthfeel_Body,Uniform_Cup,Clean_cup,Blance,Cupper_Points,Total_Cup_Points,Moisture,Category_one_Defects,Quakers,Color,Category_Two_Defects
Arabica,Ethiopia,50,60,2014.0,Natural / Dry,8.08,8.58,8.5,8.5,10.0,7.67,10.0,10.0,8.42,8.5,88.25,0.1,0,0.0,Green,4
Arabica,Ethiopia,300,60,2014.0,Natural / Dry,8.17,8.67,8.25,8.5,10.0,7.75,10.0,10.0,8.17,8.58,88.08,0.1,0,0.0,,1
Arabica,United States,10,1,2014.0,Washed / Wet,8.25,8.42,8.17,8.33,10.0,8.08,10.0,10.0,8.17,8.5,87.92,0.0,0,0.0,,0
Arabica,United States,10,1,2014.0,Washed / Wet,8.08,8.67,8.33,8.42,10.0,8.0,10.0,10.0,8.08,8.33,87.92,0.0,0,0.0,,0
Arabica,United States (Hawaii),1,1,2010.0,,8.33,8.42,8.08,8.25,10.0,8.25,10.0,10.0,8.0,8.58,87.92,0.0,0,0.0,,2
Arabica,Ethiopia,300,60,2010.0,,8.25,8.33,8.5,8.25,9.33,8.58,9.33,10.0,8.75,8.5,87.83,0.05,0,0.0,,2
Arabica,United States,10,1,2014.0,Washed / Wet,8.0,8.5,8.58,8.17,10.0,8.17,10.0,10.0,8.0,8.17,87.58,0.0,0,0.0,,0
Arabica,Indonesia,1,0.5,,,8.33,8.25,7.83,7.75,10.0,8.5,10.0,10.0,8.42,8.33,87.42,0.03,0,0.0,,0
Arabica,Ethiopia,150,6,2010.0,,8.17,8.33,8.25,8.33,9.33,8.42,9.33,10.0,8.33,8.83,87.33,0.05,0,0.0,,2
Arabica,China,3,60,2015.0,Washed / Wet,8.42,8.25,8.08,8.17,10.0,7.92,10.0,10.0,8.0,8.42,87.25,0.1,0,0.0,Green,0
Arabica,Ethiopia,250,60,2014.0,Natural / Dry,8.17,8.17,8.0,8.17,10.0,8.08,10.0,10.0,8.33,8.33,87.25,0.0,0,0.0,,8
Arabica,United States,10,1,2014.0,Washed / Wet,8.0,8.25,8.08,8.5,10.0,8.25,10.0,10.0,8.0,8.17,87.25,0.0,0,0.0,None,0
Arabica,Costa Rica,250,1.5,2014.0,Washed / Wet,8.08,8.25,8.0,8.17,10.0,8.0,10.0,10.0,8.33,8.33,87.17,0.11,0,0.0,Green,2
Arabica,Mexico,14,1,2012.0,Washed / Wet,8.17,8.25,8.17,8.0,10.0,7.83,10.0,10.0,8.17,8.58,87.17,0.13,0,0.0,Green,0
Arabica,United States,10,1,2014.0,Washed / Wet,8.25,8.33,8.17,8.17,10.0,7.83,10.0,10.0,8.17,8.17,87.08,0.0,0,0.0,,0
Arabica,Ethiopia,100,60,2013.0,Natural / Dry,8.42,8.17,7.92,8.17,10.0,8.33,10.0,10.0,8.0,8.08,87.08,0.11,0,0.0,Bluish-Green,1
Arabica,Brazil,3,60,2011.0,Natural / Dry,8.5,8.5,8.0,8.0,10.0,8.0,10.0,10.0,8.0,7.92,86.92,0.12,0,0.0,Green,2
Arabica,Ethiopia,150,6,2009.0,,7.83,8.25,8.08,8.17,10.0,8.17,10.0,10.0,8.17,8.25,86.92,0.05,0,0.0,,2
Arabica,Uganda,100,60,2013.0,Washed / Wet,8.42,8.17,8.17,8.17,10.0,7.83,10.0,10.0,7.92,8.17,86.83,0.12,0,0.0,Green,1
Arabica,Honduras,275,69,2016.0,,8.17,8.08,8.08,8.0,10.0,8.08,10.0,10.0,8.0,8.25,86.67,0.1,0,0.0,Green,3
Arabica,Taiwan,20,50,2015.0,Pulped natural / honey,8.0,8.0,8.0,8.25,10.0,8.0,10.0,10.0,8.17,8.17,86.58,0.0,0,0.0,Green,0
Arabica,Nicaragua,275,6,,,7.92,8.25,8.0,8.33,10.0,8.0,10.0,10.0,8.08,8.0,86.58,0.08,0,0.0,,2
